2020.05.31 16:58:33 dir existed.
2020.05.31 16:58:33 [x-postion, y-position] color
2020.05.31 16:58:37 9,2 black
2020.05.31 16:58:37 9,5 white
2020.05.31 16:58:37 6,3 black
2020.05.31 16:58:38 11,3 white
2020.05.31 16:58:38 12,3 black
2020.05.31 16:58:38 13,4 white
2020.05.31 16:58:39 12,5 black
2020.05.31 16:58:39 11,5 white
2020.05.31 16:58:39 9,4 black
2020.05.31 16:58:39 8,4 white
2020.05.31 16:58:39 6,5 black
2020.05.31 16:58:40 6,6 white
2020.05.31 16:58:40 9,8 black
2020.05.31 16:58:40 13,8 white
2020.05.31 16:58:40 15,6 black
2020.05.31 16:58:40 14,3 white
2020.05.31 16:58:41 12,2 black
2020.05.31 16:58:41 12,2 black
2020.05.31 16:58:41 10,5 white
2020.05.31 16:58:41 11,8 black
2020.05.31 16:58:42 12,8 white
2020.05.31 16:58:42 9,7 black
2020.05.31 16:58:42 8,6 white
2020.05.31 16:58:42 8,5 black
2020.05.31 16:58:43 7,5 white
2020.05.31 16:58:43 7,5 white
2020.05.31 16:58:43 7,5 white
2020.05.31 16:58:43 7,6 black
2020.05.31 16:58:44 9,6 white
2020.05.31 16:58:44 9,6 white
2020.05.31 16:58:44 7,7 black
2020.05.31 16:58:44 11,6 white
2020.05.31 16:58:45 10,4 black
2020.05.31 16:58:45 11,4 white
2020.05.31 16:58:45 10,7 black
2020.05.31 16:58:46 8,7 white
2020.05.31 16:58:46 8,8 black
2020.05.31 16:58:47 7,8 white
2020.05.31 16:58:48 game restart. 
2020.05.31 16:58:48 7,7 black
2020.05.31 16:58:49 7,3 white
2020.05.31 16:58:49 11,3 black
2020.05.31 16:58:49 12,7 white
2020.05.31 16:58:49 10,8 black
2020.05.31 16:58:49 8,5 white
2020.05.31 16:58:50 2,6 black
2020.05.31 16:58:50 3,3 white
2020.05.31 16:58:50 4,2 black
2020.05.31 16:58:50 6,2 white
2020.05.31 16:58:51 5,6 black
2020.05.31 16:58:51 6,7 white
2020.05.31 16:58:51 6,7 white
2020.05.31 16:58:51 11,4 black
2020.05.31 16:58:52 8,4 white
2020.05.31 16:58:52 11,5 black
2020.05.31 16:58:52 9,5 white
2020.05.31 16:58:53 11,6 black
2020.05.31 16:58:53 10,6 white
2020.05.31 16:58:54 game restart. 
2020.05.31 16:58:54 10,7 black
2020.05.31 16:58:54 6,6 white
2020.05.31 16:58:55 10,5 black
2020.05.31 16:58:55 12,5 white
2020.05.31 16:58:55 11,8 black
2020.05.31 16:58:55 9,8 white
2020.05.31 16:58:55 8,5 black
2020.05.31 16:58:56 8,3 white
2020.05.31 16:58:56 5,4 black
2020.05.31 16:58:56 7,6 white
2020.05.31 16:58:56 8,7 black
2020.05.31 16:58:57 10,1 white
2020.05.31 16:58:57 9,4 black
2020.05.31 16:58:57 6,4 white
2020.05.31 16:58:58 12,3 black
2020.05.31 16:58:58 12,3 black
2020.05.31 16:58:58 9,5 white
2020.05.31 16:58:58 9,5 white
2020.05.31 16:58:59 12,6 black
2020.05.31 16:59:00 11,6 white
2020.05.31 16:59:00 13,7 black
2020.05.31 16:59:01 11,7 white
2020.05.31 16:59:01 12,9 black
2020.05.31 16:59:01 12,7 white
2020.05.31 16:59:02 13,8 black
2020.05.31 16:59:02 13,8 black
2020.05.31 16:59:02 12,8 white
2020.05.31 16:59:03 11,9 black
2020.05.31 16:59:03 13,9 white
2020.05.31 16:59:03 11,10 black
2020.05.31 16:59:07 9,7 white
2020.05.31 16:59:07 9,6 black
2020.05.31 16:59:08 game restart. 
2020.05.31 16:59:09 9,5 black
2020.05.31 16:59:09 11,5 white
2020.05.31 16:59:09 12,5 black
2020.05.31 16:59:09 10,3 white
2020.05.31 16:59:09 7,3 black
2020.05.31 16:59:10 6,6 white
2020.05.31 16:59:10 13,8 black
2020.05.31 16:59:10 8,7 white
2020.05.31 16:59:11 8,8 black
2020.05.31 16:59:11 10,9 white
2020.05.31 16:59:11 10,8 black
2020.05.31 16:59:11 10,8 black
2020.05.31 16:59:11 6,5 white
2020.05.31 16:59:12 6,5 white
2020.05.31 16:59:12 8,4 black
2020.05.31 16:59:12 7,6 white
2020.05.31 16:59:13 10,6 black
2020.05.31 16:59:13 9,7 white
2020.05.31 16:59:13 10,7 black
2020.05.31 16:59:14 9,9 white
2020.05.31 16:59:15 11,7 black
2020.05.31 16:59:16 game over. 
